scenario,algorithm,instance,success,path_length,length_ratio,curvature,max_curvature,drive_time_curved,comp_time,parameter,value
normal_city,RRT*+Bezier,0,1,147.909,1.0417,0.046,1.5556,26.3754,0.32435,goal,1
normal_city,Hybrid,0,1,160.735,1.1321,0.6716,1.6889,58.6584,0.9679,goal,1
normal_city,Modified,0,1,150.442,1.0596,0.3656,2.2033,44.4162,0.18547,goal,1
normal_city,APF,1,1,177.1,1.2577,1.0713,3.3413,68.2133,0.03929,goal,1
normal_city,RRT*,1,1,148.241,1.0528,0.0537,1.0368,28.2993,0.51826,goal,1
normal_city,RRT*+Bezier,1,1,148.241,1.0528,0.0537,1.0368,28.2993,0.5261,goal,1
normal_city,Hybrid,1,1,155.406,1.1036,0.5472,1.8917,52.312,0.17593,goal,1
normal_city,Modified,1,1,159.276,1.1311,0.6053,3.0624,48.7576,0.15964,goal,1
normal_city,APF,2,1,175.0,1.2428,1.1158,2.8588,70.3096,0.03884,goal,1
normal_city,RRT*,2,1,144.447,1.0258,0.0626,1.2002,28.6809,0.96531,goal,1
normal_city,RRT*+Bezier,2,1,144.447,1.0258,0.0626,1.2002,28.6809,1.01295,goal,1
normal_city,Hybrid,2,1,157.733,1.1202,0.6147,3.2643,55.2703,2.12222,goal,1
normal_city,Modified,2,1,153.253,1.0884,0.4782,3.3136,43.8255,0.16715,goal,1
normal_city,APF,3,1,182.7,1.271,1.2066,4.4751,68.1822,0.03542,goal,1
normal_city,RRT*,3,1,154.421,1.0743,0.0428,1.3413,26.6886,0.2408,goal,1
normal_city,RRT*+Bezier,3,1,154.421,1.0743,0.0428,1.3413,26.6886,0.26184,goal,1
normal_city,Hybrid,3,1,162.804,1.1326,0.596,1.6263,53.8025,0.13132,goal,1
normal_city,Modified,3,1,157.838,1.0981,0.4025,2.8915,45.0641,0.25571,goal,1
normal_city,APF,4,1,178.5,1.252,1.1226,4.2543,68.8736,0.03803,goal,1
normal_city,RRT*,4,1,152.805,1.0718,0.0451,1.4386,27.0162,0.19416,goal,1
normal_city,RRT*+Bezier,4,1,152.805,1.0718,0.0451,1.4386,27.0162,0.2249,goal,1
normal_city,Hybrid,4,1,162.057,1.1367,0.5311,1.3299,50.9633,0.41973,goal,1
normal_city,Modified,4,1,159.383,1.1179,0.6152,3.9804,46.4283,0.16008,goal,1
normal_city,APF,5,1,177.1,1.2577,1.1345,3.2081,74.2637,0.03901,goal,1
normal_city,RRT*,5,1,147.857,1.05,0.0415,1.3036,25.68,0.39184,goal,1
normal_city,RRT*+Bezier,5,1,147.857,1.05,0.0415,1.3036,25.68,0.41056,goal,1
normal_city,Hybrid,5,1,168.456,1.1963,0.5878,2.034,58.205,0.6225,goal,1
normal_city,Modified,5,1,151.623,1.0768,0.4383,2.8413,44.8947,0.17352,goal,1
normal_city,APF,6,0,29.4,0.2088,0.1093,0.5632,6.776,0.01496,goal,1
normal_city,RRT*,6,1,148.175,1.0523,0.0477,1.2022,27.388,0.41007,goal,1
normal_city,RRT*+Bezier,6,1,148.175,1.0523,0.0477,1.2022,27.388,0.43357,goal,1
normal_city,Hybrid,6,1,148.492,1.0545,0.0799,1.3452,31.7164,0.20087,goal,1
normal_city,Modified,6,1,145.826,1.0356,0.0769,1.2789,31.3788,0.42364,goal,1
normal_city,APF,7,1,177.8,1.2627,1.1562,3.5215,74.6543,0.04264,goal,1
normal_city,RRT*,7,1,149.094,1.0588,0.0436,1.3449,25.659,0.4005,goal,1
normal_city,RRT*+Bezier,7,1,149.094,1.0588,0.0436,1.3449,25.659,0.40998,goal,1
normal_city,Hybrid,7,1,193.6,1.3749,0.5101,2.9625,62.2588,0.55071,goal,1
normal_city,Modified,7,1,152.348,1.0819,0.4722,3.7787,45.9952,0.27833,goal,1
normal_city,APF,8,1,183.4,1.2864,1.2025,4.3131,70.9257,0.04237,goal,1
normal_city,RRT*,8,1,142.655,1.0006,0.0538,1.0592,27.6608,0.70822,goal,1
normal_city,RRT*+Bezier,8,1,142.655,1.0006,0.0538,1.0592,27.6608,0.87963,goal,1
normal_city,Hybrid,8,1,162.485,1.1397,0.5734,1.3339,51.5608,0.52263,goal,1
normal_city,Modified,8,1,193.765,1.3591,0.323,6.0915,53.8603,0.49131,goal,1
normal_city,APF,9,0,37.8,0.2662,0.2593,0.7689,10.2048,0.01417,goal,1
normal_city,RRT*,9,1,141.328,0.9954,0.056,1.225,26.4254,0.14728,goal,1
normal_city,RRT*+Bezier,9,1,141.328,0.9954,0.056,1.225,26.4254,0.16036,goal,1
normal_city,Hybrid,9,1,152.539,1.0743,0.1351,2.0277,36.1829,0.25443,goal,1
normal_city,Modified,9,1,148.228,1.044,0.0801,1.3016,30.6104,2.05567,goal,1
normal_city,APF,10,1,169.4,1.1833,0.9964,3.3271,62.1627,0.03505,goal,1
normal_city,RRT*,10,1,145.69,1.0177,0.0445,1.1395,25.3039,0.74996,goal,1
normal_city,RRT*+Bezier,10,1,145.69,1.0177,0.0445,1.1395,25.3039,0.80201,goal,1
normal_city,Hybrid,10,1,155.595,1.0869,0.5783,1.4495,48.7885,0.10654,goal,1
normal_city,Modified,10,1,152.05,1.0621,0.4629,3.1554,40.1171,0.14007,goal,1
normal_city,APF,11,1,184.8,1.3016,1.2698,6.0017,78.0522,0.04461,goal,1
normal_city,RRT*,11,1,149.815,1.0552,0.0494,1.0871,27.893,1.16604,goal,1
normal_city,RRT*+Bezier,11,1,149.815,1.0552,0.0494,1.0871,27.893,1.06062,goal,1
normal_city,Hybrid,11,1,160.362,1.1294,0.6132,1.9324,54.6573,0.20051,goal,1
normal_city,Modified,11,1,151.762,1.0689,0.4538,5.7435,45.4371,0.3774,goal,1
normal_city,APF,12,0,2800.0,19.8848,4.4127,10.472,1718.0022,0.52448,goal,1
normal_city,RRT*,12,1,141.511,1.005,0.0724,1.1701,30.0556,0.96098,goal,1
normal_city,RRT*+Bezier,12,1,141.511,1.005,0.0724,1.1701,30.0556,0.97503,goal,1
normal_city,Hybrid,12,1,160.013,1.1364,0.2396,3.3867,44.1646,0.62115,goal,1
normal_city,Modified,12,1,161.553,1.1473,0.2408,10.4322,39.1253,0.4778,goal,1
normal_city,APF,13,1,179.2,1.2518,1.0704,2.1,78.6886,0.03806,goal,1
normal_city,RRT*,13,1,142.244,0.9936,0.0624,1.0988,28.1387,0.24733,goal,1
normal_city,RRT*+Bezier,13,1,142.244,0.9936,0.0624,1.0988,28.1387,0.26527,goal,1
normal_city,Hybrid,13,1,168.898,1.1798,0.6921,1.7221,59.9078,0.43212,goal,1
normal_city,Modified,13,1,154.808,1.0814,0.4357,1.8712,46.7936,0.17441,goal,1
normal_city,APF,14,1,172.2,1.2128,1.0393,2.2146,71.5591,0.03758,goal,1
normal_city,RRT*,14,1,148.34,1.0448,0.0477,1.1765,26.6068,0.38352,goal,1
normal_city,RRT*+Bezier,14,1,148.34,1.0448,0.0477,1.1765,26.6068,0.41233,goal,1
normal_city,Hybrid,14,1,160.9,1.1332,0.6617,1.7698,56.9883,0.10487,goal,1
normal_city,Modified,14,1,149.26,1.0513,0.3549,1.6253,44.362,0.16679,goal,1
normal_city,APF,15,1,174.3,1.2226,1.0973,2.298,71.3762,0.0369,goal,1
normal_city,RRT*,15,1,146.404,1.0269,0.0362,0.9736,23.9544,0.40781,goal,1
normal_city,RRT*+Bezier,15,1,146.404,1.0269,0.0362,0.9736,23.9544,0.42029,goal,1
normal_city,Hybrid,15,1,159.992,1.1222,0.7034,1.6569,56.6568,0.16862,goal,1
normal_city,Modified,15,1,150.79,1.0577,0.4144,1.6217,46.4166,0.17111,goal,1
normal_city,APF,16,1,168.7,1.1931,0.9981,2.4159,68.1777,0.03578,goal,1
normal_city,RRT*,16,1,152.981,1.0819,0.0405,1.55,26.2365,0.30675,goal,1
